university_code,university_name,major_code,major_name,province,year,subject_type,batch,min_score,min_rank,plan_count
10558,中山大学,080901,计算机科学与技术,广东,2024,physics,本科批,650,3500,120
10558,中山大学,020301,金融学,广东,2024,physics,本科批,645,4200,80
10558,中山大学,100201,临床医学,广东,2024,physics,本科批,655,2800,150
10001,北京大学,080901,计算机科学与技术,广东,2024,physics,本科批,685,200,30
10001,北京大学,020301,金融学,广东,2024,physics,本科批,683,250,25
10001,北京大学,100201,临床医学,广东,2024,physics,本科批,688,150,40
10003,清华大学,080901,计算机科学与技术,广东,2024,physics,本科批,687,180,35
10003,清华大学,080801,自动化,广东,2024,physics,本科批,684,230,30
10246,复旦大学,080901,计算机科学与技术,广东,2024,physics,本科批,678,350,40
10246,复旦大学,020301,金融学,广东,2024,physics,本科批,676,400,35
10246,复旦大学,100201,临床医学,广东,2024,physics,本科批,680,320,50
10248,上海交通大学,080901,计算机科学与技术,广东,2024,physics,本科批,682,270,45
10248,上海交通大学,080801,自动化,广东,2024,physics,本科批,679,340,40
10248,上海交通大学,100201,临床医学,广东,2024,physics,本科批,684,240,55
10335,浙江大学,080901,计算机科学与技术,广东,2024,physics,本科批,680,310,50
10335,浙江大学,080801,自动化,广东,2024,physics,本科批,677,380,45
10335,浙江大学,020301,金融学,广东,2024,physics,本科批,678,360,40
10284,南京大学,080901,计算机科学与技术,广东,2024,physics,本科批,675,420,45
10284,南京大学,020301,金融学,广东,2024,physics,本科批,673,480,40
10487,华中科技大学,080901,计算机科学与技术,广东,2024,physics,本科批,665,1200,80
10487,华中科技大学,100201,临床医学,广东,2024,physics,本科批,668,1000,100
10487,华中科技大学,080801,自动化,广东,2024,physics,本科批,662,1400,70
10610,四川大学,100201,临床医学,广东,2024,physics,本科批,655,2500,90
10610,四川大学,080901,计算机科学与技术,广东,2024,physics,本科批,650,3200,70
10610,四川大学,020301,金融学,广东,2024,physics,本科批,648,3600,60
10698,西安交通大学,080901,计算机科学与技术,广东,2024,physics,本科批,670,800,60
10698,西安交通大学,100201,临床医学,广东,2024,physics,本科批,672,700,70
10698,西安交通大学,080801,自动化,广东,2024,physics,本科批,667,950,55
10561,华南理工大学,080901,计算机科学与技术,广东,2024,physics,本科批,640,5500,150
10561,华南理工大学,080801,自动化,广东,2024,physics,本科批,635,6500,120
10561,华南理工大学,080901,建筑学,广东,2024,physics,本科批,638,6000,100
10574,华南师范大学,040101,教育学,广东,2024,physics,本科批,610,15000,80
10574,华南师范大学,080901,计算机科学与技术,广东,2024,physics,本科批,615,13000,70
10574,华南师范大学,050101,汉语言文学,广东,2024,physics,本科批,608,16000,90
11078,广州大学,080901,计算机科学与技术,广东,2024,physics,本科批,590,25000,100
11078,广州大学,120203,会计学,广东,2024,physics,本科批,585,28000,80
11078,广州大学,050101,汉语言文学,广东,2024,physics,本科批,583,29000,70
10564,华南农业大学,090101,农学,广东,2024,physics,本科批,570,35000,120
10564,华南农业大学,080901,计算机科学与技术,广东,2024,physics,本科批,580,30000,90
10564,华南农业大学,120203,会计学,广东,2024,physics,本科批,575,33000,80
10566,广东海洋大学,090101,水产养殖学,广东,2024,physics,本科批,540,55000,100
10566,广东海洋大学,080901,计算机科学与技术,广东,2024,physics,本科批,550,50000,80
10566,广东海洋大学,120203,会计学,广东,2024,physics,本科批,545,53000,70
10571,广东医科大学,100201,临床医学,广东,2024,physics,本科批,580,30000,150
10571,广东医科大学,100301,口腔医学,广东,2024,physics,本科批,585,28000,80
10571,广东医科大学,100401,护理学,广东,2024,physics,本科批,560,42000,120
10592,广东财经大学,020301,金融学,广东,2024,physics,本科批,575,33000,100
10592,广东财经大学,120203,会计学,广东,2024,physics,本科批,570,36000,120
10592,广东财经大学,020401,国际经济与贸易,广东,2024,physics,本科批,568,38000,90
10579,岭南师范学院,040101,教育学,广东,2024,physics,本科批,530,62000,80
10579,岭南师范学院,050101,汉语言文学,广东,2024,physics,本科批,535,58000,90
10579,岭南师范学院,080901,计算机科学与技术,广东,2024,physics,本科批,540,55000,70
10580,肇庆学院,040101,教育学,广东,2024,physics,本科批,525,65000,70
10580,肇庆学院,050101,汉语言文学,广东,2024,physics,本科批,528,63000,80
10580,肇庆学院,080901,计算机科学与技术,广东,2024,physics,本科批,532,60000,60
10582,嘉应学院,040101,教育学,广东,2024,physics,本科批,520,68000,60
10582,嘉应学院,050101,汉语言文学,广东,2024,physics,本科批,523,66000,70
10582,嘉应学院,080901,计算机科学与技术,广东,2024,physics,本科批,527,64000,50
